database,batch_time,batch_cpu,batch_memory,batch_time_per_record,number of records inserted
MongoDB,0.025052547454833984,20.8,10978.953125,2.5052547454833985e-05,1000
MongoDB,0.03202557563781738,17.9,10978.953125,3.202557563781738e-05,1000
MongoDB,0.028840065002441406,22.2,10978.953125,2.8840065002441406e-05,1000
MongoDB,0.02548670768737793,20.8,10978.69921875,2.548670768737793e-05,1000
Redis,0.18568658828735352,17.8,10979.30078125,0.00018568658828735352,1000
Redis,0.14713621139526367,19.5,10980.4296875,0.00014713621139526368,1000
Redis,0.13833260536193848,16.5,10980.421875,0.00013833260536193846,1000
Redis,0.13358569145202637,19.8,10948.44921875,0.00013358569145202636,1000
Redis,0.1324019432067871,16.8,10948.37890625,0.0001324019432067871,1000
Redis,0.13460588455200195,16.0,10948.61328125,0.00013460588455200195,1000
Redis,0.13956856727600098,17.7,10948.57421875,0.00013956856727600098,1000
Redis,0.13406729698181152,16.7,10948.4765625,0.00013406729698181151,1000
Redis,0.1832275390625,45.1,11046.21875,0.0001832275390625,1000
Redis,0.3208198547363281,72.4,11046.20703125,0.0003208198547363281,1000
Redis,0.15471720695495605,18.5,11039.18359375,0.00015471720695495606,1000
Redis,0.14274168014526367,16.7,11038.2890625,0.00014274168014526367,1000
Redis,0.13815784454345703,16.4,11030.03125,0.00013815784454345703,1000
Redis,0.13506126403808594,18.0,11030.27734375,0.00013506126403808595,1000
Redis,0.13998627662658691,17.0,11030.51171875,0.0001399862766265869,1000
Redis,0.1394195556640625,18.3,11030.74609375,0.0001394195556640625,1000
Redis,0.14403581619262695,16.5,11030.74609375,0.00014403581619262695,1000
Redis,0.13553524017333984,17.4,11031.4453125,0.00013553524017333984,1000
Redis,0.1475839614868164,18.3,11031.4453125,0.0001475839614868164,1000
Redis,0.14025425910949707,17.7,11031.4453125,0.00014025425910949707,1000
Redis,0.14410090446472168,16.5,11031.6796875,0.00014410090446472168,1000
Redis,0.14208221435546875,17.5,11031.7421875,0.00014208221435546876,1000
Redis,0.13961219787597656,17.9,11031.9140625,0.00013961219787597657,1000
Redis,0.13364386558532715,15.9,11031.9140625,0.00013364386558532715,1000
Redis,0.13560271263122559,16.5,11032.1484375,0.0001356027126312256,1000
Redis,0.13393735885620117,18.5,11032.1484375,0.00013393735885620117,1000
Redis,0.13515353202819824,15.7,11032.1484375,0.00013515353202819824,1000
Redis,0.13533306121826172,17.4,11032.1484375,0.00013533306121826173,1000
Redis,0.13945937156677246,18.6,11030.1640625,0.00013945937156677245,1000
Redis,0.26719236373901367,28.7,11037.22265625,0.00026719236373901365,1000
Redis,0.13609862327575684,21.2,11005.3515625,0.00013609862327575685,1000
Redis,0.14581537246704102,18.5,11005.3515625,0.00014581537246704103,1000
Redis,0.14346814155578613,16.4,11005.3515625,0.00014346814155578614,1000
Redis,0.13883352279663086,17.0,11005.37890625,0.00013883352279663085,1000
Redis,0.1448380947113037,19.3,11033.03125,0.0001448380947113037,1000
Redis,0.1556999683380127,17.3,11033.09375,0.0001556999683380127,1000
Redis,0.1405653953552246,15.3,11033.3359375,0.0001405653953552246,1000
Redis,0.14008617401123047,17.0,11033.828125,0.00014008617401123046,1000
Redis,0.14110803604125977,16.1,11034.07421875,0.00014110803604125977,1000
Redis,0.14303851127624512,17.4,11034.05859375,0.00014303851127624512,1000
Redis,0.1459794044494629,17.8,11034.0625,0.0001459794044494629,1000
Redis,0.150007963180542,18.3,11026.87109375,0.00015000796318054199,1000
Redis,0.19917869567871094,17.9,11029.58984375,0.00019917869567871095,1000
Redis,0.16696906089782715,15.7,11029.82421875,0.00016696906089782714,1000
Redis,0.14722394943237305,16.2,11029.82421875,0.00014722394943237304,1000
Redis,0.14447951316833496,17.8,11030.0703125,0.00014447951316833496,1000
Redis,0.14401745796203613,17.2,11030.0703125,0.00014401745796203613,1000
